ticker,beta,ke,net_income,book_equity,roe,abnormal_earnings
AAPL,1.165,0.104075,93736000000.0,56950000000.0,1.6459350307287095,87808928750.00002
MSFT,1.055,0.098025,101832000000.0,343479000000.0,0.2964722734140952,68162471025.00001
NVDA,2.145,0.157975,72880000000.0,79327000000.0,0.9187288060811577,60348317175.0
TSM,1.195,0.10572500000000001,1158380200000.0,4244266500000.0,0.2729282433136562,709655124287.5
AMZN,1.314,0.11227000000000001,59248000000.0,285970000000.0,0.2071825715984194,27142148099.999996
META,1.273,0.110015,62360000000.0,182637000000.0,0.34144231453648494,42267190445.0
TSLA,2.331,0.168205,7130000000.0,72913000000.0,0.09778777447094482,-5134331165.0
GOOG,1.014,0.09577,100118000000.0,325084000000.0,0.30797578472025694,68984705320.00002
TMUS,0.613,0.073715,11339000000.0,61741000000.0,0.18365429779239079,6787762184.999999
