ticker,price,trailingPE,priceToBook
AAPL,229.35,34.855625,51.760323
MSFT,522.04,38.300804,11.298589
NVDA,182.735,58.757236,53.151543
TSM,241.83,28.996403,1.3687613
AMZN,222.69,33.894978,7.112197
META,769.3,27.933912,9.922355
TSLA,329.675,196.23512,13.74734
GOOG,202.155,21.551706,6.7423205
TMUS,244.98,23.155008,4.5200095
